Error léxico: token '(' no reconocido en la línea 2, columna 8.
Error léxico: token ')' no reconocido en la línea 2, columna 14.
Error léxico: token '(' no reconocido en la línea 16, columna 4.
Error léxico: token ')' no reconocido en la línea 16, columna 8.
Error léxico: token '(' no reconocido en la línea 19, columna 9.
Error léxico: token ')' no reconocido en la línea 19, columna 13.
Error léxico: token '(' no reconocido en la línea 27, columna 3.
Error léxico: token ')' no reconocido en la línea 27, columna 7.
Error léxico: token '(' no reconocido en la línea 28, columna 6.
Error léxico: token ')' no reconocido en la línea 28, columna 11.
Error léxico: token '(' no reconocido en la línea 29, columna 6.
Error léxico: token ')' no reconocido en la línea 29, columna 11.
Error lexico: token '(' no reconocido en la línea 2, columna 8.
Error lexico: token ')' no reconocido en la línea 2, columna 14.
Error lexico: token '(' no reconocido en la línea 16, columna 4.
Error lexico: token ')' no reconocido en la línea 16, columna 8.
Error lexico: token '(' no reconocido en la línea 19, columna 9.
Error lexico: token ')' no reconocido en la línea 19, columna 13.
Error lexico: token '(' no reconocido en la línea 27, columna 3.
Error lexico: token ')' no reconocido en la línea 27, columna 7.
Error lexico: token '(' no reconocido en la línea 28, columna 6.
Error lexico: token ')' no reconocido en la línea 28, columna 11.
Error lexico: token '(' no reconocido en la línea 29, columna 6.
Error lexico: token ')' no reconocido en la línea 29, columna 11.
