Token                Tipo                 Linea      Columna   
------------------------------------------------------------
int                  PALABRA RESERVADA    1          1         
vector               IDENTIFICADOR        1          5         
,                    COMA                 1          11        
su                   IDENTIFICADOR        1          13        
mas                  IDENTIFICADOR        1          16        
,                    COMA                 1          19        
res                  IDENTIFICADOR        1          21        
tas                  IDENTIFICADOR        1          25        
,                    COMA                 1          28        
suma1                IDENTIFICADOR        1          29        
,                    COMA                 1          34        
suma2                IDENTIFICADOR        1          35        
,                    COMA                 1          40        
ert                  IDENTIFICADOR        1          43        
;                    PUNTO_Y_COMA         1          46        
main                 PALABRA RESERVADA    1          48        
if                   PALABRA RESERVADA    1          53        
(                    PARENTESIS           1          55        
while                PALABRA RESERVADA    1          56        
)                    PARENTESIS           1          61        
if                   PALABRA RESERVADA    1          62        
+                    SIMBOLOS             1          64        
34.34                REAL                 1          65        
34.34                REAL                 1          71        
34                   ENTERO               1          77        
-                    SIMBOLOS             1          79        
34                   ENTERO               1          80        
++                   SIMBOLOS             1          82        
++                   SIMBOLOS             1          84        
+                    SIMBOLOS             1          86        
--                   SIMBOLOS             1          87        
--                   SIMBOLOS             1          89        
-                    SIMBOLOS             1          91        
cin                  PALABRA RESERVADA    1          93        
>                    SIMBOLOS             1          97        
>                    SIMBOLOS             1          98        
>=                   SIMBOLOS             1          99        
<                    SIMBOLOS             1          101       
<                    SIMBOLOS             1          102       
<=                   SIMBOLOS             1          103       
=                    SIMBOLOS             1          105       
=                    SIMBOLOS             1          106       
=                    SIMBOLOS             1          107       
!=                   SIMBOLOS             1          108       
{                    LLAVE_ABIERTA        1          111       
int                  PALABRA RESERVADA    1          113       
x                    IDENTIFICADOR        1          117       
,                    COMA                 1          118       
y                    IDENTIFICADOR        1          119       
,                    COMA                 1          120       
z                    IDENTIFICADOR        1          121       
;                    PUNTO_Y_COMA         1          122       
real                 PALABRA RESERVADA    1          124       
a                    IDENTIFICADOR        1          129       
,                    COMA                 1          130       
b                    IDENTIFICADOR        1          132       
,                    COMA                 1          133       
c                    IDENTIFICADOR        1          135       
;                    PUNTO_Y_COMA         1          136       
cin                  PALABRA RESERVADA    1          138       
gfkh                 IDENTIFICADOR        1          142       
int                  PALABRA RESERVADA    1          148       
real                 PALABRA RESERVADA    1          152       
x                    IDENTIFICADOR        2          2         
=                    SIMBOLOS             2          3         
23                   ENTERO               2          4         
;                    PUNTO_Y_COMA         2          6         
y                    IDENTIFICADOR        2          8         
=                    SIMBOLOS             2          9         
2                    ENTERO               2          10        
